id,review_id,category_id,rating_value,created_at
503,1253,1,4.2,2025-06-18T16:33:04.440714
504,1254,1,4.2,2025-06-18T16:33:04.440716
505,1255,1,4.2,2025-06-18T16:33:04.440718
506,1251,2,4.4,2025-06-18T16:33:04.440827
507,1252,2,4.4,2025-06-18T16:33:04.440830
508,1253,2,4.4,2025-06-18T16:33:04.440832
509,1254,2,4.4,2025-06-18T16:33:04.440834
510,1255,2,4.4,2025-06-18T16:33:04.440841
511,1251,4,4.4,2025-06-18T16:33:04.440951
512,1252,4,4.4,2025-06-18T16:33:04.440953
513,1253,4,4.4,2025-06-18T16:33:04.440956
514,1254,4,4.4,2025-06-18T16:33:04.440958
515,1255,4,4.4,2025-06-18T16:33:04.440960
516,1251,5,4.3,2025-06-18T16:33:04.441071
517,1252,5,4.3,2025-06-18T16:33:04.441074
518,1253,5,4.3,2025-06-18T16:33:04.441076
519,1254,5,4.3,2025-06-18T16:33:04.441079
520,1255,5,4.3,2025-06-18T16:33:04.441081
521,1301,1,4.5,2025-06-18T16:33:04.441190
522,1302,1,4.5,2025-06-18T16:33:04.441193
523,1303,1,4.5,2025-06-18T16:33:04.441195
524,1304,1,4.5,2025-06-18T16:33:04.441197
